Neighborhood,price_usd,province,Number_of_rooms,Square_meters
Galicia,1050.0,La Coruña,2.0,69.0
Galicia,1400.0,La Coruña,4.0,132.0
Galicia,1400.0,La Coruña,3.0,125.0
Galicia,700.0,La Coruña,3.0,85.0
Galicia,700.0,La Coruña,3.0,125.0
Galicia,500.0,La Coruña,2.0,65.0
Galicia,1750.0,La Coruña,5.0,285.0
Galicia,455.0,La Coruña,3.0,90.0
Galicia,2500.0,La Coruña,4.0,280.0
Galicia,850.0,La Coruña,2.0,120.0
Galicia,450.0,La Coruña,2.0,85.0
Galicia,400.0,La Coruña,3.0,105.0
Galicia,2000.0,La Coruña,3.0,155.0
Galicia,1450.0,La Coruña,3.0,120.0
Galicia,1200.0,La Coruña,2.0,65.0
Galicia,550.0,La Coruña,1.0,50.0
Galicia,700.0,La Coruña,3.0,116.0
Galicia,300.0,La Coruña,2.0,100.0
Galicia,1200.0,La Coruña,1.0,75.0
Galicia,1100.0,La Coruña,3.0,108.0
Galicia,700.0,La Coruña,4.0,92.0
Galicia,550.0,La Coruña,1.0,52.0
Galicia,750.0,La Coruña,3.0,90.0
Galicia,980.0,La Coruña,3.0,137.0
Galicia,620.0,La Coruña,3.0,74.0
Galicia,700.0,La Coruña,2.0,77.0
Galicia,500.0,La Coruña,2.0,68.0
Galicia,890.0,La Coruña,3.0,95.0
Galicia,690.0,La Coruña,3.0,90.0
Galicia,500.0,La Coruña,3.0,101.0
Galicia,850.0,La Coruña,3.0,90.0
Galicia,900.0,La Coruña,3.0,92.0
Galicia,650.0,La Coruña,4.0,125.0
Galicia,625.0,La Coruña,2.0,60.0
Galicia,470.0,La Coruña,3.0,110.0
Galicia,1050.0,La Coruña,3.0,119.0
Galicia,950.0,La Coruña,4.0,150.0
Galicia,650.0,La Coruña,3.0,92.0
Galicia,1750.0,La Coruña,3.0,209.0
Galicia,695.0,La Coruña,1.0,77.0
Galicia,350.0,La Coruña,7.0,300.0
Galicia,700.0,La Coruña,3.0,125.0
Galicia,750.0,La Coruña,4.0,137.0
Galicia,500.0,La Coruña,3.0,50.0
Galicia,1800.0,La Coruña,5.0,521.0
Galicia,450.0,La Coruña,2.0,111.0
Galicia,1200.0,La Coruña,3.0,95.0
Galicia,550.0,La Coruña,3.0,144.0
Galicia,750.0,La Coruña,3.0,90.0
Galicia,1000.0,La Coruña,1.0,130.0
Galicia,4500.0,La Coruña,12.0,663.0
Galicia,400.0,La Coruña,1.0,40.0
Galicia,750.0,La Coruña,2.0,70.0
Galicia,800.0,La Coruña,3.0,110.0
Galicia,750.0,La Coruña,3.0,65.0
Galicia,975.0,La Coruña,2.0,75.0
Galicia,630.0,La Coruña,3.0,95.0
Galicia,750.0,La Coruña,4.0,126.0
Galicia,650.0,La Coruña,1.0,36.0
Galicia,1500.0,La Coruña,4.0,158.0
Galicia,2500.0,La Coruña,4.0,233.0
Galicia,1300.0,La Coruña,3.0,154.0
Galicia,1650.0,La Coruña,4.0,261.0
Galicia,575.0,La Coruña,2.0,70.0
Galicia,495.0,La Coruña,2.0,74.0
Galicia,475.0,La Coruña,3.0,95.0
Galicia,800.0,La Coruña,1.0,76.0
Galicia,800.0,La Coruña,4.0,106.0
Galicia,475.0,La Coruña,1.0,36.0
Galicia,800.0,La Coruña,3.0,97.0
Galicia,700.0,La Coruña,3.0,100.0
Galicia,650.0,La Coruña,4.0,110.0
Galicia,1255.0,La Coruña,2.0,80.0
Galicia,1380.0,La Coruña,3.0,122.0
Galicia,2050.0,La Coruña,4.0,181.0
Galicia,750.0,La Coruña,4.0,101.0
Galicia,500.0,La Coruña,2.0,90.0
Galicia,800.0,La Coruña,3.0,79.0
Galicia,950.0,La Coruña,5.0,221.0
Galicia,1000.0,La Coruña,4.0,140.0
Galicia,445.0,La Coruña,1.0,48.0
Galicia,1200.0,La Coruña,1.0,60.0
